Date,Open,High,Low,Close,Adj Close,Volume,Open_brl,High_brl,Low_brl,Close_brl,Adj Close_brl,Volume_brl,Open_bvsp,High_bvsp,Low_bvsp,Close_bvsp,Adj Close_bvsp,Volume_bvsp,Open_petroleo,High_petroleo,Low_petroleo,Adj Close_petroleo,Volume_petroleo,Open_ouro,High_ouro,Low_ouro,Adj Close_ouro,Volume_ouro,Adj Close_goll4
2020-01-30,4.2288,4.2692,4.226698,4.2289,4.2289,0,4.2288,4.2692,4.226698,4.2289,4.2289,0,115375.0,115528.0,112825.0,115528.0,115528.0,6315600,53.09,53.2,51.66,52.14,720120.0,1582.4,1590.7,1576.8,1589.2,382600.0,35.040001
2020-01-31,4.2422,4.2842,4.240011,4.2422,4.2422,0,4.2422,4.2842,4.240011,4.2422,4.2422,0,115518.0,115518.0,113148.0,113761.0,113761.0,6219900,52.92,53.36,50.97,51.56,827910.0,1578.4,1595.5,1575.0,1587.9,343370.0,34.25
2020-02-03,4.2826,4.2826,4.228579,4.2826,4.2826,0,4.2826,4.2826,4.228579,4.2826,4.2826,0,113761.0,115299.0,113467.0,114629.0,114629.0,5512200,51.01,51.97,49.8,50.11,876040.0,1597.8,1598.5,1573.2,1582.4,320600.0,34.349998
2020-02-04,4.2465,4.2475,4.2232,4.2468,4.2468,0,4.2465,4.2475,4.2232,4.2468,4.2468,0,114631.0,116556.0,114631.0,115557.0,115557.0,5829400,49.94,51.55,49.31,49.61,859360.0,1581.5,1584.5,1552.8,1555.5,349000.0,35.16
2020-02-05,4.2539,4.2586,4.22381,4.2537,4.2537,0,4.2539,4.2586,4.22381,4.2537,4.2537,0,115563.0,117701.0,115562.0,116028.0,116028.0,7173800,49.51,51.88,49.47,50.75,887950.0,1556.1,1566.2,1551.1,1562.8,306050.0,36.189999
2020-02-06,4.2336,4.2709,4.207225,4.2336,4.2336,0,4.2336,4.2709,4.207225,4.2336,4.2336,0,116033.0,117382.0,114723.0,115190.0,115190.0,7382400,51.17,52.2,50.24,50.95,750660.0,1560.0,1571.9,1556.0,1570.0,229000.0,35.75
2020-02-07,4.2809,4.3221,4.2772,4.2808,4.2808,0,4.2809,4.3221,4.2772,4.2808,4.2808,0,115190.0,115190.0,113769.0,113770.0,113770.0,6594100,51.11,51.48,50.09,50.32,768350.0,1570.7,1577.8,1563.5,1573.4,286420.0,34.459999
2020-02-10,4.3204,4.3255,4.30438,4.3204,4.3204,0,4.3204,4.3255,4.30438,4.3204,4.3204,0,113771.0,114176.0,112134.0,112570.0,112570.0,7486300,50.12,50.49,49.42,49.57,715890.0,1575.8,1580.5,1571.5,1579.5,191750.0,34.16
2020-02-11,4.3232,4.3355,4.2965,4.320975,4.320975,0,4.3232,4.3355,4.2965,4.320975,4.320975,0,112574.0,115576.0,112574.0,115371.0,115371.0,6767900,49.61,50.69,49.58,49.94,725730.0,1575.5,1577.5,1565.2,1570.1,231830.0,36.200001
2020-02-12,4.327531,4.3473,4.3235,4.327531,4.327531,0,4.327531,4.3473,4.3235,4.327531,4.327531,0,115371.0,117581.0,115371.0,116674.0,116674.0,8159200,49.96,51.73,49.95,51.17,795260.0,1571.2,1573.6,1564.4,1571.6,189550.0,36.299999
2020-02-13,4.3546,4.3801,4.309545,4.3545,4.3545,0,4.3546,4.3801,4.309545,4.3545,4.3545,0,116660.0,116660.0,114801.0,115662.0,115662.0,5635700,51.72,51.96,50.6,51.42,745400.0,1569.8,1581.7,1568.5,1578.8,276250.0,35.400002
2020-02-14,4.346647,4.3489,4.3005,4.346767,4.346767,0,4.346647,4.3489,4.3005,4.346767,4.346767,0,115663.0,115663.0,114132.0,114381.0,114381.0,5335900,51.51,52.34,51.32,52.05,607340.0,1579.0,1588.2,1576.0,1586.4,227110.0,36.0
2020-02-17,4.297,4.3237,4.294353,4.297,4.297,0,4.297,4.3237,4.294353,4.297,4.297,0,114381.0,115696.0,114381.0,115309.0,115309.0,0,52.34,52.59,52.05,52.2,362745.7917109458,1585.1,1608.2,1581.8,1603.6,414240.0,36.389999
2020-02-18,4.3266,4.3539,4.321498,4.3265,4.3265,0,4.3266,4.3539,4.321498,4.3265,4.3265,0,115309.0,115309.0,113532.0,114977.0,114977.0,5548400,52.23,52.41,50.88,52.05,221770.0,1585.1,1608.2,1581.8,1603.6,414240.0,35.869999
2020-02-19,4.3549,4.3754,4.352478,4.3548,4.3548,0,4.3549,4.3754,4.352478,4.3548,4.3548,0,114982.0,116545.0,114774.0,116518.0,116518.0,6334100,52.12,53.66,51.93,53.29,113680.0,1604.8,1615.9,1602.4,1611.8,307890.0,36.349998
2020-02-20,4.3644,4.3956,4.329676,4.364,4.364,0,4.3644,4.3956,4.329676,4.364,4.364,0,116518.0,116552.0,114379.0,114586.0,114586.0,6793000,53.5,54.5,53.22,53.78,30670.0,1615.0,1626.5,1606.6,1620.5,403040.0,34.799999
2020-02-21,4.390741,4.4032,4.3711,4.3923,4.3923,0,4.390741,4.4032,4.3711,4.3923,4.3923,0,114585.0,114585.0,112661.0,113681.0,113681.0,5896200,53.74,53.86,52.55,53.38,707560.0,1623.6,1652.1,1621.6,1648.8,489190.0,33.82
2020-02-26,4.3868,4.4322,4.350477,4.3868,4.3868,0,4.3868,4.4322,4.350477,4.3868,4.3868,0,113647.0,113647.0,105053.0,105718.0,105718.0,9369800,50.08,50.44,48.3,48.73,884480.0,1637.3,1657.1,1626.6,1643.1,531900.0,28.98
2020-02-27,4.4495,4.4979,4.446161,4.4491,4.4491,0,4.4495,4.4979,4.446161,4.4491,4.4491,0,105711.0,106656.0,102984.0,102984.0,102984.0,11237700,48.63,48.78,45.88,47.09,1010000.0,1643.0,1662.5,1636.7,1642.5,573290.0,26.4
2020-02-28,4.482665,4.5123,4.461548,4.4848,4.4848,0,4.482665,4.5123,4.461548,4.4848,4.4848,0,102984.0,104172.0,99951.0,104172.0,104172.0,11228400,46.49,47.03,43.85,44.76,1100000.0,1646.1,1651.0,1564.0,1566.7,745840.0,25.6
